T*,Z11,Z12,Z13,Z14,Z15,Z33,Z22,Z23,Z24,Z25,Z26,Z44
0,1.1870,1.0551,0.9672,0.9027,0.8572,1.1178,1.1947,1.0951,1.0221,0.9706,0.9193,1.0927
0.1,1.1911,1.0523,0.9584,0.8883,0.8320,1.1079,1.1983,1.1002,1.0291,0.9750,0.9323,1.1062
0.2,1.1662,1.0142,0.9025,0.8113,0.7338,1.0704,1.2098,1.1094,1.0401,0.9770,0.9188,1.1119
0.3,1.1243,0.9515,0.8232,0.7239,0.6475,1.0161,1.2065,1.0936,0.9978,0.9129,0.8381,1.0843
0.4,1.0750,0.8900,0.7597,0.6667,0.6005,0.9641,1.1799,1.0471,0.9367,0.8453,0.7711,1.0360
0.5,1.0282,0.8402,0.7160,0.6328,0.5764,0.9194,1.1421,0.9974,0.8835,0.7953,0.7280,0.9870
0.6,0.9873,0.8025,0.6870,0.6131,0.5643,0.8828,1.1028,0.9538,0.8428,0.7614,0.7017,0.9450
0.7,0.9530,0.7745,0.6679,0.6019,0.5589,0.8536,1.0667,0.9185,0.8133,0.7391,0.6862,0.9111
0.8,0.9248,0.7538,0.6555,0.5959,0.5572,0.8305,1.0352,0.8907,0.7923,0.7249,0.6775,0.8847
0.9,0.9016,0.7387,0.6475,0.5930,0.5576,0.8125,1.0084,0.8692,0.7775,0.7160,0.6731,0.8642
1.0,0.8825,0.7272,0.6425,0.5923,0.5593,0.7985,0.9859,0.8528,0.7673,0.7108,0.6716,0.8488
1.2,0.8541,0.7130,0.6385,0.5942,0.5646,0.7793,0.9520,0.8309,0.7561,0.7075,0.6736,0.8282
1.4,0.8350,0.7058,0.6388,0.5985,0.5711,0.7684,0.9290,0.8189,0.7525,0.7093,0.6790,0.8170
1.6,0.8221,0.7028,0.6414,0.6039,0.5779,0.7625,0.9137,0.8130,0.7531,0.7139,0.6860,0.8120
1.8,0.8135,0.7025,0.6451,0.6096,0.5845,0.7601,0.9039,0.8111,0.7560,0.7198,0.6936,0.8107
2.0,0.8080,0.7037,0.6496,0.6155,0.5910,0.7600,0.8978,0.8116,0.7604,0.7263,0.7014,0.8119
2.5,0.8023,0.7104,0.6616,0.6296,0.6059,0.7654,0.8930,0.8189,0.7742,0.7435,0.7202,0.8207
3.0,0.8031,0.7195,0.6735,0.6425,0.6180,0.7746,0.8963,0.8300,0.7891,0.7600,0.7374,0.8331
3.5,0.8070,0.7288,0.6847,0.6541,0.6305,0.7853,0.9033,0.8423,0.8035,0.7752,0.7529,0.8466
4,0.8126,0.7382,0.6950,0.6644,0.6404,0.7963,0.9122,0.8546,0.8171,0.7892,0.7668,0.8599
5,0.8253,0.7556,0.7129,0.6819,0.6572,0.8174,0.9313,0.8778,0.8415,0.8135,0.7906,0.8849
6,0.8384,0.7709,0.7280,0.6962,0.6705,0.8364,0.9503,0.8987,0.8623,0.8339,0.8105,0.9072
7,0.8509,0.7842,0.7409,0.7081,0.6817,0.8533,0.9681,0.9172,0.8806,0.8516,0.8275,0.9269
8,0.8623,0.7961,0.7520,0.7185,0.6912,0.8680,0.9845,0.9339,0.8967,0.8670,0.8424,0.9445
9,0.8730,0.8067,0.7618,0.7272,0.6993,0.8813,0.9995,0.9488,0.9110,0.8808,0.8559,0.9602
10,0.8829,0.8160,0.7702,0.7351,0.7066,0.8929,1.0133,0.9624,0.9241,0.8935,0.8678,0.9745
12,0.9002,0.8322,0.7848,0.7485,0.7189,0.9133,1.0381,0.9862,0.9469,0.9153,0.8891,0.9998
14,0.9150,0.8457,0.7969,0.7594,0.7292,0.9301,1.0598,1.0068,0.9664,0.9341,0.9073,1.0213
16,0.9280,0.8572,0.8074,0.7690,0.7380,0.9444,1.0788,1.0248,0.9838,0.9508,0.9236,1.0404
18,0.9394,0.8674,0.8164,0.7773,0.7459,0.9568,1.0958,1.0409,0.9993,0.9658,0.9383,1.0575
20,0.9497,0.8762,0.8245,0.7846,0.7530,0.9680,1.1113,1.0557,1.0134,0.9796,0.9516,1.0731
25,0.9710,0.8951,0.8415,0.8007,0.7682,0.9910,1.1448,1.0875,1.0441,1.0095,0.9812,1.1070
30,0.9885,0.9103,0.8555,0.8138,0.7808,1.0094,1.1729,1.1145,1.0703,1.0352,1.0067,1.1357
35,1.0032,0.9232,0.8674,0.8253,0.7921,1.0250,1.1976,1.1382,1.0935,1.0582,1.0294,1.1608
40,1.0157,0.9346,0.8781,0.8355,0.8021,1.0385,1.2193,1.1593,1.1143,1.0787,1.0499,1.1832
45,1.0270,0.9446,0.8876,0.8450,0.8114,1.0508,1.2393,1.1786,1.1332,1.0976,1.0688,1.2041
50,1.0371,0.9538,0.8965,0.8535,0.8199,1.0614,1.2573,1.1962,1.1509,1.1152,1.0863,1.2228
60,1.0549,0.9701,0.9123,0.8691,0.8355,1.0807,1.2901,1.2283,1.1826,1.1469,1.1180,1.2572
70,1.0700,0.9846,0.9264,0.8827,0.8495,1.0978,1.3189,1.2571,1.2113,1.7156,1.1468,1.2878
80,1.0834,0.9973,0.9388,0.8957,0.8622,1.1129,1.3451,1.2828,1.2370,1.2014,1.1730,1.3157
90,1.0959,1.0091,0.9504,0.9074,0.8743,1.1265,1.3690,1.3068,1.2609,1.2257,1.1973,1.3413
100,1.1071,1.0201,0.9615,0.9184,0.8853,1.1391,1.3915,1.3292,1.2835,1.2481,1.2198,1.3649
200,1.1906,1.1038,1.0462,1.0049,0.9729,1.2356,1.5600,1.4988,1.4547,1.4208,1.3939,1.5470
