# alpha = 13
T*,Z11,Z12,Z13,Z14,Z15,Z33,Z22,Z23,Z24,Z25,Z26,Z44
0,1.1870,1.0551,0.9672,0.9027,0.8572,1.1178,1.1947,1.0951,1.0221,0.9706,0.9193,1.0927
0.1,1.1813,1.0447,0.9528,0.8846,0.8305,1.1020,1.1985,1.0994,1.0269,0.9709,0.9265,1.0986
0.2,1.1618,1.0150,0.9084,0.8217,0.7479,1.0718,1.2052,1.1090,1.0376,0.9783,0.9247,1.1116
0.3,1.1275,0.9619,0.8389,0.7429,0.6681,1.0250,1.2056,1.0977,1.0077,0.9278,0.8562,1.0944
0.4,1.0851,0.9071,0.7807,0.6893,0.6236,0.9787,1.1862,1.0602,0.9549,0.8664,0.7934,1.0526
0.5,1.0436,0.8617,0.7400,0.6575,0.6011,0.9383,1.1549,1.0164,0.9059,0.8190,0.7519,1.0076
0.6,1.0068,0.8268,0.7129,0.6393,0.5904,0.9048,1.1207,0.9766,0.8676,0.7866,0.7267,0.9681
0.7,0.9756,0.8009,0.6953,0.6294,0.5862,0.8780,1.0882,0.9436,0.8395,0.7653,0.7120,0.9360
0.8,0.9498,0.7818,0.6841,0.6244,0.5855,0.8569,1.0594,0.9175,0.8196,0.7519,0.7043,0.9110
0.9,0.9285,0.7678,0.6772,0.6226,0.5871,0.8405,1.0346,0.8972,0.8057,0.7439,0.7009,0.8917
1.0,0.9112,0.7577,0.6732,0.6229,0.5897,0.8279,1.0138,0.8820,0.7965,0.7398,0.7005,0.8775
1.2,0.8854,0.7454,0.6710,0.6266,0.5970,0.8111,0.9824,0.8618,0.7870,0.7382,0.7044,0.8590
1.4,0.8684,0.7400,0.6729,0.6326,0.6052,0.8022,0.9613,0.8514,0.7850,0.7418,0.7118,0.8499
1.6,0.8573,0.7386,0.6770,0.6395,0.6136,0.7981,0.9475,0.8471,0.7871,0.7481,0.7206,0.8466
1.8,0.8503,0.7396,0.6823,0.6468,0.6219,0.7974,0.9391,0.8465,0.7916,0.7557,0.7299,0.8469
2.0,0.8461,0.7421,0.6881,0.6542,0.6299,0.7987,0.9344,0.8484,0.7976,0.7638,0.7392,0.8496
2.5,0.8436,0.7519,0.7032,0.6715,0.6483,0.8073,0.9327,0.8590,0.8148,0.7844,0.7615,0.8617
3.0,0.8472,0.7637,0.7181,0.6875,0.6643,0.8193,0.9388,0.8731,0.8326,0.8040,0.7817,0.8771
3.5,0.8535,0.7757,0.7320,0.7017,0.6785,0.8323,0.9485,0.8880,0.8497,0.8219,0.7998,0.8931
4,0.8614,0.7874,0.7446,0.7145,0.6910,0.8454,0.9597,0.9027,0.8658,0.8381,0.8161,0.9087
5,0.8782,0.8091,0.7671,0.7365,0.7121,0.8700,0.9831,0.9303,0.8944,0.8668,0.8443,0.9378
6,0.8950,0.8282,0.7862,0.7547,0.7296,0.8922,1.0058,0.9548,0.9191,0.8911,0.8679,0.9637
7,0.9107,0.8451,0.8024,0.7702,0.7441,0.9118,1.0270,0.9769,0.9408,0.9121,0.8885,0.9867
8,0.9253,0.8601,0.8166,0.7836,0.7568,0.9294,1.0464,0.9964,0.9600,0.9309,0.9066,1.0072
9,0.9389,0.8734,0.8292,0.7954,0.7678,0.9453,1.0643,1.0143,0.9773,0.9477,0.9230,1.0257
10,0.9514,0.8855,0.8404,0.8059,0.7777,0.9596,1.0809,1.0306,0.9929,0.9628,0.9377,1.0425
12,0.9736,0.9065,0.8599,0.8240,0.7948,0.9847,1.1105,1.0592,1.0207,0.9898,0.9641,1.0725
14,0.9927,0.9245,0.8765,0.8394,0.8094,1.0063,1.1363,1.0843,1.0449,1.0133,0.9871,1.0984
16,1.0096,0.9399,0.8907,0.8528,0.8223,1.0250,1.1595,1.1064,1.0662,1.0342,1.0076,1.1216
18,1.0247,0.9537,0.9034,0.8648,0.8337,1.0417,1.1801,1.1264,1.0857,1.0530,1.0262,1.1422
20,1.0384,0.9659,0.9147,0.8754,0.8440,1.0569,1.1991,1.1448,1.1033,1.0704,1.0432,1.1611
25,1.0674,0.9922,0.9392,0.8987,0.8664,1.0895,1.2406,1.1847,1.1423,1.1085,1.0812,1.2027
30,1.0913,1.0139,0.9596,0.9184,0.8855,1.1166,1.2758,1.2187,1.1757,1.1416,1.1138,1.2382
35,1.1118,1.0328,0.9775,0.9357,0.9027,1.1403,1.3066,1.2486,1.2052,1.1709,1.1430,1.2694
40,1.1296,1.0492,0.9933,0.9510,0.9179,1.1616,1.3344,1.2757,1.2320,1.1975,1.1694,1.2974
45,1.1456,1.0643,1.0076,0.9651,0.9318,1.1806,1.3595,1.3004,1.2565,1.2217,1.1937,1.3230
50,1.1602,1.0778,1.0208,0.9783,0.9447,1.1983,1.3826,1.3232,1.2792,1.2444,1.2165,1.3466
60,1.1861,1.1023,1.0447,1.0017,0.9682,1.2297,1.4243,1.3644,1.3202,1.2854,1.2577,1.3896
70,1.2087,1.1239,1.0659,1.0230,0.9894,1.2577,1.4615,1.4015,1.3569,1.3224,1.2945,1.4280
80,1.2287,1.1431,1.0849,1.0422,1.0089,1.2830,1.4951,1.4348,1.3906,1.3559,1.3282,1.4628
90,1.2469,1.1608,1.1025,1.0598,1.0267,1.3063,1.5262,1.4656,1.4215,1.3869,1.3595,1.4948
100,1.2639,1.1774,1.1193,1.0762,1.0434,1.3277,1.5546,1.4942,1.4500,1.4161,1.3885,1.5248
200,1.3892,1.3027,1.2456,1.2042,1.1723,1.4915,1.7718,1.7128,1.6699,1.6376,1.6114,1.7518
