# alpha = 15
T*,Z11,Z12,Z13,Z14,Z15,Z33,Z22,Z23,Z24,Z25,Z26,Z44
0,1.1870,1.0551,0.9672,0.9027,0.8572,1.1178,1.1947,1.0951,1.0221,0.9706,0.9193,1.0927
0.1,1.1722,1.0378,0.9477,0.8810,0.8285,1.1007,1.2016,1.1025,1.0306,0.9736,0.9290,1.1061
0.2,1.1577,1.0163,0.9153,0.8343,0.7655,1.0765,1.2081,1.1114,1.0403,0.9828,0.9325,1.1150
0.3,1.1320,0.9750,0.8594,0.7687,0.6970,1.0392,1.2107,1.1061,1.0211,0.9465,0.8796,1.1029
0.4,1.0984,0.9300,0.8099,0.7221,0.6579,1.0012,1.1978,1.0783,0.9791,0.8952,0.8252,1.0705
0.5,1.0645,0.8916,0.7747,0.6944,0.6388,0.9672,1.1739,1.0426,0.9374,0.8536,0.7879,1.0333
0.6,1.0337,0.8618,0.7514,0.6792,0.6306,0.9381,1.1462,1.0088,0.9039,0.8247,0.7654,0.9996
0.7,1.0075,0.8397,0.7367,0.6715,0.6285,0.9158,1.1191,0.9803,0.8791,0.8060,0.7529,0.9718
0.8,0.9857,0.8235,0.7278,0.6687,0.6299,0.8978,1.0945,0.9575,0.8617,0.7946,0.7470,0.9499
0.9,0.9678,0.8121,0.7230,0.6687,0.6333,0.8840,1.0734,0.9400,0.8498,0.7883,0.7454,0.9331
1.0,0.9533,0.8040,0.7208,0.6707,0.6378,0.8735,1.0555,0.9268,0.8423,0.7858,0.7466,0.9209
1.2,0.9323,0.7954,0.7218,0.6777,0.6484,0.8605,1.0285,0.9102,0.8359,0.7872,0.7535,0.9057
1.4,0.9191,0.7931,0.7266,0.6867,0.6596,0.8548,1.0110,0.9027,0.8365,0.7936,0.7637,0.8992
1.6,0.9112,0.7944,0.7335,0.6964,0.6708,0.8535,1.0003,0.9009,0.8412,0.8024,0.7751,0.8982
1.8,0.9070,0.7979,0.7412,0.7063,0.6817,0.8554,0.9944,0.9027,0.8481,0.8124,0.7868,0.9007
2.0,0.9054,0.8028,0.7494,0.7159,0.6921,0.8593,0.9920,0.9067,0.8562,0.8227,0.7986,0.9054
2.5,0.9083,0.8179,0.7699,0.7389,0.7160,0.8734,0.9953,0.9223,0.8786,0.8488,0.8266,0.9222
3.0,0.9167,0.8344,0.7896,0.7597,0.7372,0.8903,1.0059,0.9409,0.9013,0.8734,0.8521,0.9419
3.5,0.9273,0.8507,0.8078,0.7783,0.7558,0.9077,1.0196,0.9602,0.9229,0.8960,0.8750,0.9622
4,0.9389,0.8662,0.8245,0.7953,0.7725,0.9245,1.0345,0.9790,0.9431,0.9169,0.8958,0.9819
5,0.9627,0.8951,0.8541,0.8245,0.8012,0.9558,1.0651,1.0139,0.9796,0.9533,0.9318,1.0187
6,0.9856,0.9203,0.8796,0.8494,0.8250,0.9836,1.0943,1.0452,1.0111,0.9844,0.9623,1.0514
7,1.0069,0.9430,0.9017,0.8708,0.8458,1.0086,1.1213,1.0733,1.0389,1.0115,0.9887,1.0805
8,1.0268,0.9632,0.9214,0.8895,0.8638,1.0308,1.1462,1.0985,1.0634,1.0356,1.0121,1.1064
9,1.0449,0.9816,0.9390,0.9063,0.8800,1.0514,1.1691,1.1212,1.0856,1.0570,1.0332,1.1300
10,1.0619,0.9981,0.9549,0.9216,0.8946,1.0699,1.1904,1.1421,1.1059,1.0766,1.0523,1.1515
12,1.0922,1.0277,0.9829,0.9483,0.9205,1.1032,1.2283,1.1791,1.1416,1.1115,1.0860,1.1895
14,1.1188,1.0530,1.0070,0.9715,0.9428,1.1321,1.2616,1.2111,1.1727,1.1416,1.1154,1.2225
16,1.1426,1.0756,1.0284,0.9921,0.9628,1.1579,1.2911,1.2397,1.2002,1.1683,1.1417,1.2518
18,1.1640,1.0957,1.0475,1.0104,0.9805,1.1812,1.3179,1.2655,1.2250,1.1925,1.1656,1.2781
20,1.1834,1.1140,1.0648,1.0273,0.9970,1.2026,1.3423,1.2887,1.2477,1.2148,1.1873,1.3020
25,1.2257,1.1537,1.1029,1.0642,1.0333,1.2494,1.3954,1.3399,1.2975,1.2634,1.2353,1.3544
30,1.2614,1.1872,1.1353,1.0957,1.0642,1.2897,1.4406,1.3835,1.3400,1.3054,1.2768,1.3992
35,1.2923,1.2167,1.1637,1.1234,1.0920,1.3254,1.4802,1.4219,1.3775,1.3425,1.3138,1.4382
40,1.3199,1.2429,1.1890,1.1486,1.1169,1.3574,1.5152,1.4561,1.4114,1.3759,1.3471,1.4737
45,1.3446,1.2666,1.2123,1.1718,1.1397,1.3869,1.5474,1.4874,1.4424,1.4067,1.3776,1.5057
50,1.3675,1.2886,1.2339,1.1929,1.1609,1.4141,1.5769,1.5163,1.4710,1.4352,1.4060,1.5353
60,1.4083,1.3280,1.2726,1.2316,1.1996,1.4631,1.6298,1.5684,1.5225,1.4865,1.4575,1.5889
70,1.4443,1.3630,1.3073,1.2660,1.2340,1.5072,1.6768,1.6150,1.5687,1.5326,1.5034,1.6365
80,1.4766,1.3945,1.3389,1.2974,1.2654,1.5471,1.7190,1.6569,1.6107,1.5747,1.5453,1.6797
90,1.5059,1.4235,1.3675,1.3267,1.2946,1.5837,1.7580,1.6952,1.6491,1.6132,1.5841,1.7194
100,1.5331,1.4505,1.3945,1.3534,1.3217,1.6180,1.7938,1.7312,1.6850,1.6489,1.6200,1.7562
200,1.7372,1.6538,1.5991,1.5596,1.5291,1.8773,2.0647,2.0026,1.9572,1.9227,1.8945,2.0351
